Week,Day,Top_Term,rank
2024-12-21,2024-12-21,Notre Dame football,1
2024-12-21,2024-12-21,Winter solstice 2024,3
2024-12-21,2024-12-21,Penn State Football,2
2024-12-20,2024-12-20,Broncos vs Chargers,1
2024-12-20,2024-12-20,Superman,3
2024-12-20,2024-12-20,Amazon strike,2
2024-12-19,2024-12-19,Stock market today,2
2024-12-19,2024-12-19,Bird flu,3
2024-12-19,2024-12-19,Real Madrid,1
2024-12-18,2024-12-18,Bucks vs Thunder,3
2024-12-18,2024-12-18,Pachuca vs Real Madrid,2
2024-12-18,2024-12-18,Cody Poteet,1
2024-12-17,2024-12-17,Falcons vs Raiders,3
2024-12-17,2024-12-17,Wisconsin school shooting,1
2024-12-17,2024-12-17,Vikings,2
2024-12-16,2024-12-16,Grant DuBose,3
2024-12-16,2024-12-16,Lions,1
2024-12-16,2024-12-16,Packers,2
2024-12-15,2024-12-15,Army vs Navy,1
2024-12-15,2024-12-15,Colby Covington,3
2024-12-15,2024-12-15,Tornado warning San Francisco,2
2024-12-14,2024-12-14,Army-Navy game,1
2024-12-14,2024-12-14,Heisman winner 2024,2
2024-12-14,2024-12-14,Heisman,3
2024-12-13,2024-12-13,LeBron James,3
2024-12-13,2024-12-13,Rams vs 49ers,1
2024-12-13,2024-12-13,Astro Bot,2
2024-12-12,2024-12-12,Drones over New Jersey,3
2024-12-12,2024-12-12,Benny Blanco,1
2024-12-12,2024-12-12,Bill Belichick,2
2024-12-11,2024-12-11,Malibu fire,2
2024-12-11,2024-12-11,28 Years Later,1
2024-12-11,2024-12-11,Real Madrid,3
2024-12-10,2024-12-10,Luigi Mangione,1
2024-12-10,2024-12-10,Bengals vs Cowboys,2
2024-12-10,2024-12-10,Daniel Penny verdict,3
2024-12-09,2024-12-09,Chiefs,1
2024-12-09,2024-12-09,Jay-Z,3
2024-12-09,2024-12-09,Juan Soto,2
2024-12-08,2024-12-08,Georgia vs Texas,2
2024-12-08,2024-12-08,Oregon football,1
2024-12-08,2024-12-08,UFC,3
2024-12-07,2024-12-07,Boise State Football,1
2024-12-07,2024-12-07,Daniel Penny,2
2024-12-07,2024-12-07,TikTok ban,3
2024-12-06,2024-12-06,"Deny, defend depose",3
2024-12-06,2024-12-06,Earthquake,1
2024-12-06,2024-12-06,Packers vs Lions,2
2024-12-05,2024-12-05,Pete Hegseth,3
2024-12-05,2024-12-05,UnitedHealthcare CEO,1
2024-12-05,2024-12-05,Bitcoin price,2
2024-12-04,2024-12-04,Apple Music Replay,3
2024-12-04,2024-12-04,Spotify Wrapped 2024,2
2024-12-04,2024-12-04,South Korea,1
2024-12-03,2024-12-03,Laurel,2
2024-12-03,2024-12-03,Lakers,3
2024-12-03,2024-12-03,Browns vs Broncos,1
2024-12-02,2024-12-02,Hunter Biden,3
2024-12-02,2024-12-02,Trevor Lawrence,2
2024-12-02,2024-12-02,Buffalo Bills,1
2024-12-01,2024-12-01,South Carolina football,3
2024-12-01,2024-12-01,Michigan vs Ohio State,1
2024-12-01,2024-12-01,Kash Patel,2
2024-11-30,2024-11-30,Colorado football,3
2024-11-30,2024-11-30,Georgia football,1
2024-11-30,2024-11-30,Josh Allen,2
2024-11-29,2024-11-29,Black Friday deals,2
2024-11-29,2024-11-29,Bears vs Lions,3
2024-11-29,2024-11-29,NFL,1
2024-11-28,2024-11-28,Macy's Thanksgiving Day Parade,3
2024-11-28,2024-11-28,Thanksgiving,1
2024-11-28,2024-11-28,Walmart,2
2024-11-27,2024-11-27,Champions League,1
2024-11-27,2024-11-27,Duke basketball,3
2024-11-27,2024-11-27,Eloise,2
2024-11-26,2024-11-26,Hannah Kobayashi update,3
2024-11-26,2024-11-26,Microsoft outage,1
2024-11-26,2024-11-26,Thanksgiving Winter storm forecast snow,2
2024-11-25,2024-11-25,Cowboys,1
2024-11-25,2024-11-25,Saquon Barkley,3
2024-11-25,2024-11-25,Eagles,2
2024-11-24,2024-11-24,Alabama football,1
2024-11-24,2024-11-24,Auburn football,2
2024-11-24,2024-11-24,Indiana football,3
2024-11-23,2024-11-23,Conor McGregor,3
2024-11-23,2024-11-23,Kendrick Lamar,1
2024-11-23,2024-11-23,Premier League,2
